query_id,run_name,nDCG@10,nDCG@20,Recall@10,Recall@20,Recall@100
33,bm25_eligibility_focus,0.35969100690634176,0.4261708086415614,0.21052631578947367,0.47368421052631576,0.6842105263157895
34,bm25_eligibility_focus,0.23700867326845226,0.3282450629640161,0.4444444444444444,0.7777777777777778,0.8888888888888888
35,bm25_eligibility_focus,0.1467278441987201,0.14596473113136266,0.04878048780487805,0.0975609756097561,0.34146341463414637
36,bm25_eligibility_focus,0.10030274924863171,0.11754978297972958,0.06451612903225806,0.0967741935483871,0.3548387096774194
37,bm25_eligibility_focus,0.06643871027537931,0.06375619228385875,0.08333333333333333,0.08333333333333333,0.25
38,bm25_eligibility_focus,0.0,0.0,0.0,0.0,0.3333333333333333
39,bm25_eligibility_focus,0.0,0.0,0.0,0.0,0.0
40,bm25_eligibility_focus,0.6131471927654584,0.6131471927654584,0.5,0.5,0.5
41,bm25_eligibility_focus,0.14515482955611908,0.16195930967460778,0.23076923076923078,0.3076923076923077,0.38461538461538464
42,bm25_eligibility_focus,0.0,0.0,0.0,0.0,0.0
43,bm25_eligibility_focus,0.5315796557430236,0.47516388230106343,0.1323529411764706,0.20588235294117646,0.5735294117647058
44,bm25_eligibility_focus,0.22009176629808017,0.22009176629808017,0.1,0.1,0.2
45,bm25_eligibility_focus,0.07336392209936005,0.11983271750127836,0.025,0.075,0.25
46,bm25_eligibility_focus,0.48649183542828267,0.4237587338675987,0.15151515151515152,0.24242424242424243,0.5454545454545454
47,bm25_eligibility_focus,0.10635004704127156,0.15210406830808054,0.07142857142857142,0.21428571428571427,0.4642857142857143
48,bm25_eligibility_focus,0.4124497136428909,0.4387828025461208,0.125,0.3125,0.71875
49,bm25_eligibility_focus,0.10747866137789959,0.19193479840843966,0.13333333333333333,0.26666666666666666,0.5333333333333333
50,bm25_eligibility_focus,0.325027967813913,0.464243082748806,0.25,0.5,0.75
51,bm25_eligibility_focus,0.27294313420794514,0.45715103061708867,0.23809523809523808,0.5714285714285714,0.8571428571428571
52,bm25_eligibility_focus,0.3617337709036371,0.3026537020996393,0.1875,0.1875,0.4375
53,bm25_eligibility_focus,0.0,0.0,0.0,0.0,0.0
54,bm25_eligibility_focus,0.4707036894103765,0.4381885173875575,0.25806451612903225,0.3548387096774194,0.5806451612903226
55,bm25_eligibility_focus,0.8262346571285599,0.8262346571285599,0.5,0.5,0.5
56,bm25_eligibility_focus,0.5471355966284414,0.594248616987916,0.15789473684210525,0.3684210526315789,0.7894736842105263
57,bm25_eligibility_focus,0.09518664005696183,0.0868696552610287,0.14285714285714285,0.14285714285714285,0.5
58,bm25_eligibility_focus,0.5453668764168821,0.5842210696747717,0.21621621621621623,0.40540540540540543,0.6486486486486487
59,bm25_eligibility_focus,0.446184751088582,0.3466210239619536,0.0625,0.09375,0.3020833333333333
60,bm25_eligibility_focus,0.9575861412006988,0.8171127385634497,0.1388888888888889,0.2361111111111111,0.5694444444444444
61,bm25_eligibility_focus,0.207858144299691,0.19012073191602435,0.05555555555555555,0.1111111111111111,0.3333333333333333
62,bm25_eligibility_focus,0.23526917162261754,0.29321631879776267,0.08955223880597014,0.1791044776119403,0.4626865671641791
63,bm25_eligibility_focus,0.3065735963827292,0.3065735963827292,0.5,0.5,0.5
64,bm25_eligibility_focus,0.06662487161801604,0.12850117163612065,0.029850746268656716,0.08955223880597014,0.26865671641791045
65,bm25_eligibility_focus,0.10344714905816861,0.09788611928659634,0.08333333333333333,0.08333333333333333,0.25
66,bm25_eligibility_focus,0.0,0.0,0.0,0.0,0.0
67,bm25_eligibility_focus,0.032729886096336605,0.07967993210344951,0.043478260869565216,0.17391304347826086,0.43478260869565216
68,bm25_eligibility_focus,0.5252366315947573,0.5827465158706576,0.13559322033898305,0.2542372881355932,0.4915254237288136
69,bm25_eligibility_focus,0.0,0.0,0.0,0.0,1.0
70,bm25_eligibility_focus,0.06934506308715421,0.06934506308715421,0.2,0.2,0.2
71,bm25_eligibility_focus,0.0,0.10349971097611223,0.0,0.25,0.5
72,bm25_eligibility_focus,0.23259032126058063,0.21067799892833602,0.23076923076923078,0.23076923076923078,0.3076923076923077
73,bm25_eligibility_focus,0.0,0.0,0.0,0.0,0.0
74,bm25_eligibility_focus,0.6290102109696928,0.6290102109696928,0.5,0.5,0.5
75,bm25_eligibility_focus,0.0,0.0,0.0,0.0,0.11764705882352941
1,rrf_bm25_all_plus_eligibility,0.3093778348313505,0.2727569818849292,0.06542056074766354,0.12149532710280374,0.411214953271028
