rho,tau,mu,kap,n,n_accept,accept_rate,abstain_rate,tp_any,fp_any,fn_any,tn_any,precision_any,recall_any,f1_any,tp_strict,fp_strict,fn_strict,precision_strict,recall_strict,f1_strict,n_generic,generic_accepted,generic_abstain_rate
1.0,0.15,-4.5,3,150,67,0.44666666666666666,0.5533333333333333,14,34,7,45,0.2916666666666667,0.6666666666666666,0.4057971014492754,4,44,5,0.08333333333333333,0.4444444444444444,0.14035087719298245,22,0,1.0
1.0,0.15,-4.5,5,150,67,0.44666666666666666,0.5533333333333333,14,34,7,45,0.2916666666666667,0.6666666666666666,0.4057971014492754,4,44,5,0.08333333333333333,0.4444444444444444,0.14035087719298245,22,0,1.0
1.0,0.15,-4.5,999,150,67,0.44666666666666666,0.5533333333333333,14,34,7,45,0.2916666666666667,0.6666666666666666,0.4057971014492754,4,44,5,0.08333333333333333,0.4444444444444444,0.14035087719298245,22,0,1.0
1.0,0.15,-4.0,1,150,39,0.26,0.74,8,17,13,62,0.32,0.38095238095238093,0.34782608695652173,2,23,7,0.08,0.2222222222222222,0.11764705882352941,22,0,1.0
1.0,0.15,-4.0,2,150,47,0.31333333333333335,0.6866666666666666,10,22,11,57,0.3125,0.47619047619047616,0.37735849056603776,3,29,6,0.09375,0.3333333333333333,0.14634146341463417,22,0,1.0
1.0,0.15,-4.0,3,150,48,0.32,0.6799999999999999,11,22,10,57,0.3333333333333333,0.5238095238095238,0.40740740740740733,4,29,5,0.12121212121212122,0.4444444444444444,0.19047619047619047,22,0,1.0
1.0,0.15,-4.0,5,150,48,0.32,0.6799999999999999,11,22,10,57,0.3333333333333333,0.5238095238095238,0.40740740740740733,4,29,5,0.12121212121212122,0.4444444444444444,0.19047619047619047,22,0,1.0
1.0,0.15,-4.0,999,150,48,0.32,0.6799999999999999,11,22,10,57,0.3333333333333333,0.5238095238095238,0.40740740740740733,4,29,5,0.12121212121212122,0.4444444444444444,0.19047619047619047,22,0,1.0
1.0,0.15,-3.0,1,150,25,0.16666666666666666,0.8333333333333334,4,7,17,72,0.36363636363636365,0.19047619047619047,0.25,1,10,8,0.09090909090909091,0.1111111111111111,0.09999999999999999,22,0,1.0
1.0,0.15,-3.0,2,150,28,0.18666666666666668,0.8133333333333334,5,9,16,70,0.35714285714285715,0.23809523809523808,0.2857142857142857,2,12,7,0.14285714285714285,0.2222222222222222,0.17391304347826086,22,0,1.0
1.0,0.15,-3.0,3,150,29,0.19333333333333333,0.8066666666666666,6,9,15,70,0.4,0.2857142857142857,0.3333333333333333,3,12,6,0.2,0.3333333333333333,0.25,22,0,1.0
1.0,0.15,-3.0,5,150,29,0.19333333333333333,0.8066666666666666,6,9,15,70,0.4,0.2857142857142857,0.3333333333333333,3,12,6,0.2,0.3333333333333333,0.25,22,0,1.0
1.0,0.15,-3.0,999,150,29,0.19333333333333333,0.8066666666666666,6,9,15,70,0.4,0.2857142857142857,0.3333333333333333,3,12,6,0.2,0.3333333333333333,0.25,22,0,1.0
1.0,0.15,-2.0,1,150,17,0.11333333333333333,0.8866666666666667,3,3,18,76,0.5,0.14285714285714285,0.22222222222222224,1,5,8,0.16666666666666666,0.1111111111111111,0.13333333333333333,22,0,1.0
1.0,0.15,-2.0,2,150,19,0.12666666666666668,0.8733333333333333,4,4,17,75,0.5,0.19047619047619047,0.27586206896551724,2,6,7,0.25,0.2222222222222222,0.23529411764705882,22,0,1.0
1.0,0.15,-2.0,3,150,20,0.13333333333333333,0.8666666666666667,5,4,16,75,0.5555555555555556,0.23809523809523808,0.33333333333333326,3,6,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,22,0,1.0
1.0,0.15,-2.0,5,150,20,0.13333333333333333,0.8666666666666667,5,4,16,75,0.5555555555555556,0.23809523809523808,0.33333333333333326,3,6,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,22,0,1.0
1.0,0.15,-2.0,999,150,20,0.13333333333333333,0.8666666666666667,5,4,16,75,0.5555555555555556,0.23809523809523808,0.33333333333333326,3,6,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,22,0,1.0
1.0,0.15,0.0,1,150,4,0.02666666666666667,0.9733333333333334,0,0,21,79,0.0,0.0,0.0,0,0,9,0.0,0.0,0.0,22,0,1.0
1.0,0.15,0.0,2,150,4,0.02666666666666667,0.9733333333333334,0,0,21,79,0.0,0.0,0.0,0,0,9,0.0,0.0,0.0,22,0,1.0
1.0,0.15,0.0,3,150,4,0.02666666666666667,0.9733333333333334,0,0,21,79,0.0,0.0,0.0,0,0,9,0.0,0.0,0.0,22,0,1.0
